T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,overheat_flag
21.184999,18.5,16.92,19.299999,60.939999,50.439999,68.0,12.0,5.28,0
21.295,18.5,16.379999,20.299999,61.869999,50.139999,66.0,13.0,5.28,0
21.344999,18.5,17.039999,20.299999,62.309998,50.09,64.0,15.0,5.268,0
21.414999,18.5,16.9,22.299999,63.059998,50.09,64.0,12.0,5.28,0
21.484999,18.5,16.82,23.299999,62.859997,50.23,64.0,14.0,5.262,0
21.564999,18.5,16.940001,23.299999,63.23,50.32,64.0,12.0,5.244,0
21.615,18.5,16.959999,23.299999,63.23,50.52,64.0,13.0,5.244,0
21.645,18.5,16.959999,24.299999,63.139999,50.689999,64.0,14.0,5.268,0
21.799999,18.5,16.58,22.299999,64.93,50.599998,64.0,13.0,5.256,0
21.855,18.5,16.619999,22.299999,65.239998,50.75,62.0,13.0,5.316,0
21.889999,18.5,16.76,21.299999,65.309998,50.98,60.0,13.0,5.268,0
21.904999,18.5,16.619999,23.299999,65.260002,51.09,56.0,13.0,5.244,0
21.955,18.5,16.359999,23.299999,66.349998,51.07,52.0,14.0,5.256,0
22.0,18.5,16.84,25.299999,64.849998,51.029999,54.0,13.0,5.28,0
22.01,18.5,16.559999,25.299999,65.970001,51.029999,56.0,13.0,5.244,0
22.049999,18.5,16.48,25.299999,66.849998,51.18,56.0,13.0,5.256,0
22.129999,18.5,16.799999,27.299999,66.290001,51.32,56.0,13.0,5.292,0
22.23,18.5,16.48,27.299999,66.839996,51.289997,56.0,14.0,5.316,0
22.309999,18.5,16.4,26.299999,67.369995,51.289997,56.0,13.0,5.232,0
22.4,18.5,16.440001,26.299999,67.229996,51.199997,57.5,12.0,5.268,0
22.424999,18.5,16.299999,26.299999,67.279999,51.18,59.0,14.0,5.244,0
22.445,18.5,16.48,27.299999,67.019997,51.199997,61.5,12.0,5.268,0
22.48,18.5,16.859999,26.299999,66.290001,51.199997,64.0,13.0,5.232,0
22.389999,18.5,16.5,24.299999,67.279999,51.399998,66.0,14.0,5.208,0
22.285,18.5,16.34,23.299999,67.580002,51.579998,68.0,13.0,5.244,0
22.205,18.5,16.16,22.299999,68.639999,51.93,70.0,13.0,5.28,0
22.15,18.5,16.48,21.299999,68.269997,52.32,72.0,13.0,5.292,0
22.119999,18.5,16.32,21.299999,68.360001,52.459999,72.0,13.0,5.292,0
22.074999,18.5,16.02,21.299999,69.07,52.509998,72.0,14.0,5.268,0
22.039999,18.5,16.299999,20.299999,69.129997,52.779999,72.0,13.0,5.268,0
22.01,18.5,16.18,20.299999,69.400002,53.049999,72.0,13.0,5.268,0
21.939999,18.5,16.02,20.299999,69.729996,53.25,72.0,13.0,5.268,0
21.844999,18.5,16.299999,19.299999,70.110001,53.529999,72.0,13.0,5.244,0
21.814999,18.5,15.96,19.299999,71.239998,53.829998,74.5,14.0,5.256,0
21.744999,18.5,15.799999,19.299999,71.909996,54.27,77.0,13.0,5.268,0
21.664999,18.5,15.52,19.299999,72.110001,54.5,79.5,13.0,5.268,0
21.184999,18.5,17.34,19.299999,70.459999,55.699997,82.0,2.0,0.0,0
